# Pharos pharos.watch | Endpoint: peg-mechanism-distribution | As of: 2026-07-08T08:00:33.000Z | URL: https://pharos.watch/datasets/peg-mechanism-distribution/latest.csv | Methodology: safety-score v8.13 | Freshness: point-in-time sample; not guaranteed to track production freshness
mechanismArchetype,mechanismLabel,pegReferenceId,jurisdiction,coinCount
cdp,Crypto-Collateralized (CDP),unknown,unknown,76
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United States,30
unknown,Unknown,unknown,unknown,21
tbill,Tokenized Treasury,unknown,United States,13
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,unknown,13
unknown,Unknown,usdc-circle,unknown,8
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,unknown,8
tbill,Tokenized Treasury,unknown,British Virgin Islands,7
rwa-credit-fund,Tokenized Credit Fund,unknown,United States,7
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Hong Kong,7
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,British Virgin Islands,6
rwa-credit-fund,Tokenized Credit Fund,unknown,British Virgin Islands,6
rwa-credit-fund,Tokenized Credit Fund,unknown,unknown,6
algorithmic,Reflexive / Unbacked,unknown,unknown,6
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Singapore,5
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,British Virgin Islands,5
tbill,Tokenized Treasury,unknown,France,5
unknown,Unknown,unknown,British Virgin Islands,5
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,South Korea,5
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,France,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Australia,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Japan,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Brazil,4
unknown,Unknown,usdt-tether,unknown,3
tbill,Tokenized Treasury,unknown,Bermuda,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Switzerland,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Netherlands,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Malta,3
unknown,Unknown,unknown,Germany,3
unknown,Unknown,unknown,Singapore,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Liechtenstein,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United Kingdom,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Canada,3
unknown,Unknown,unknown,Brazil,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,El Salvador,2
fiat-cash,Custodial Cash and Cash-Equivalents,usdc-circle,unknown,2
synthetic-delta-neutral,Hedged Synthetic Dollar,usde-ethena,unknown,2
cdp,Crypto-Collateralized (CDP),usds-sky,unknown,2
tbill,Tokenized Treasury,unknown,Switzerland,2
cdp,Crypto-Collateralized (CDP),gho-aave,unknown,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Kyrgyzstan,2
unknown,Unknown,unknown,Switzerland,2
cdp,Crypto-Collateralized (CDP),bold-liquity,unknown,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Iceland,2
tbill,Tokenized Treasury,unknown,unknown,2
rwa-credit-fund,Tokenized Credit Fund,unknown,France,2
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,France,2
tbill,Tokenized Treasury,unknown,Jersey,2
