# Pharos pharos.watch | Endpoint: peg-mechanism-distribution | As of: 2026-09-20T08:00:26.000Z | URL: https://pharos.watch/datasets/peg-mechanism-distribution/latest.csv | Methodology: safety-score v9.5 | Freshness: point-in-time sample; not guaranteed to track production freshness | Metadata: approximated (legacy snapshot 2026-09-20 omitted mechanismArchetype, pegReferenceId, or jurisdiction; using current catalog metadata as an approximation)
mechanismArchetype,mechanismLabel,pegReferenceId,jurisdiction,coinCount
cdp,Crypto-Collateralized (CDP),unknown,unknown,71
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,unknown,32
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United States,30
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,unknown,16
tbill,Tokenized Treasury,unknown,United States,12
rwa-credit-fund,Tokenized Credit Fund,unknown,British Virgin Islands,9
unknown,Unknown,usdc-circle,unknown,7
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,British Virgin Islands,6
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Singapore,6
tbill,Tokenized Treasury,unknown,British Virgin Islands,6
rwa-credit-fund,Tokenized Credit Fund,unknown,United States,6
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,British Virgin Islands,6
tbill,Tokenized Treasury,unknown,France,6
rwa-credit-fund,Tokenized Credit Fund,unknown,unknown,6
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Hong Kong,6
algorithmic,Reflexive / Unbacked,unknown,unknown,5
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,France,4
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Germany,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Australia,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Japan,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Brazil,4
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,South Korea,4
unknown,Unknown,usdt-tether,unknown,3
fiat-cash,Custodial Cash and Cash-Equivalents,usdc-circle,unknown,3
rwa-credit-fund,Tokenized Credit Fund,usdc-circle,unknown,3
tbill,Tokenized Treasury,unknown,Bermuda,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Netherlands,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Malta,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United Kingdom,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Canada,3
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,El Salvador,2
synthetic-delta-neutral,Hedged Synthetic Dollar,usde-ethena,unknown,2
cdp,Crypto-Collateralized (CDP),usds-sky,unknown,2
cdp,Crypto-Collateralized (CDP),gho-aave,unknown,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Kyrgyzstan,2
tbill,Tokenized Treasury,unknown,unknown,2
rwa-credit-fund,Tokenized Credit Fund,unknown,Cayman Islands,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Switzerland,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Luxembourg,2
cdp,Crypto-Collateralized (CDP),bold-liquity,unknown,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Iceland,2
rwa-credit-fund,Tokenized Credit Fund,unknown,France,2
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,France,2
tbill,Tokenized Treasury,unknown,Jersey,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Indonesia,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Turkey,2
commodity-claim,Allocated Commodity Claim,unknown,United States,2
commodity-claim,Allocated Commodity Claim,unknown,Panama,2
commodity-claim,Allocated Commodity Claim,unknown,Singapore,2
commodity-claim,Allocated Commodity Claim,unknown,Turkey,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Germany,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Liechtenstein,2
rwa-credit-fund,Tokenized Credit Fund,unknown,Marshall Islands,2
unknown,Unknown,unknown,Brazil,2
fiat-cash,Custodial Cash and Cash-Equivalents,usdt-tether,Panama,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usd1-world-liberty-financial,unknown,1
cdp,Crypto-Collateralized (CDP),dai-makerdao,unknown,1
cdp,Crypto-Collateralized (CDP),unknown,Dominica,1
cdp,Crypto-Collateralized (CDP),usdd-tron-dao-reserve,unknown,1
tbill,Tokenized Treasury,unknown,Switzerland,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Cayman Islands,1
rwa-credit-fund,Tokenized Credit Fund,usdai-usd-ai,Cayman Islands,1
tbill,Tokenized Treasury,usd0-usual,unknown,1
rwa-credit-fund,Tokenized Credit Fund,cusd-cap,unknown,1
cdp,Crypto-Collateralized (CDP),crvusd-curve,unknown,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Switzerland,1
cdp,Crypto-Collateralized (CDP),dola-inverse-finance,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Bermuda,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usdf-astherus,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Bahamas,1
tbill,Tokenized Treasury,frxusd-frax,unknown,1
rwa-credit-fund,Tokenized Credit Fund,unknown,UAE,1
synthetic-delta-neutral,Hedged Synthetic Dollar,avusd-avant,British Virgin Islands,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Kyrgyz Republic,1
algorithmic,Reflexive / Unbacked,unknown,United States,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Singapore,1
tbill,Tokenized Treasury,usdo-openeden,Bermuda,1
tbill,Tokenized Treasury,unknown,Hong Kong,1
tbill,Tokenized Treasury,unknown,Brazil,1
cdp,Crypto-Collateralized (CDP),unknown,El Salvador,1
synthetic-delta-neutral,Hedged Synthetic Dollar,yusd-aegis,British Virgin Islands,1
cdp,Crypto-Collateralized (CDP),fxusd-f-x-protocol,unknown,1
tbill,Tokenized Treasury,m-m0,United States,1
cdp,Crypto-Collateralized (CDP),unknown,Cayman Islands,1
unknown,Unknown,usn-noon,unknown,1
cdp,Crypto-Collateralized (CDP),unknown,Croatia,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Panama,1
cdp,Crypto-Collateralized (CDP),yzusd-yuzu,Georgia,1
tbill,Tokenized Treasury,m-m0,Singapore,1
tbill,Tokenized Treasury,m-m0,Switzerland,1
tbill,Tokenized Treasury,m-m0,unknown,1
tbill,Tokenized Treasury,unknown,Union of Comoros,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United States / Norway,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Singapore,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Marshall Islands,1
unknown,Unknown,dusd-dtrinity,unknown,1
tbill,Tokenized Treasury,unknown,Germany,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Germany,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Luxembourg,1
tbill,Tokenized Treasury,unknown,Panama,1
unknown,Unknown,rusd-reservoir,unknown,1
rwa-credit-fund,Tokenized Credit Fund,rusd-reservoir,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Kazakhstan,1
commodity-claim,Allocated Commodity Claim,unknown,El Salvador,1
commodity-claim,Allocated Commodity Claim,unknown,British Virgin Islands,1
commodity-claim,Allocated Commodity Claim,unknown,Liechtenstein,1
commodity-claim,Allocated Commodity Claim,unknown,United Arab Emirates,1
commodity-claim,Allocated Commodity Claim,unknown,Switzerland,1
commodity-claim,Allocated Commodity Claim,unknown,Hong Kong,1
commodity-claim,Allocated Commodity Claim,unknown,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Finland,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,South Africa,1
cdp,Crypto-Collateralized (CDP),unknown,Singapore,1
tbill,Tokenized Treasury,unknown,Mexico,1
tbill,Tokenized Treasury,unknown,Marshall Islands,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Marshall Islands,1
cdp,Crypto-Collateralized (CDP),zsd-zephyr-protocol,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,usdc-circle,British Virgin Islands,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usdc-circle,British Virgin Islands,1
rwa-credit-fund,Tokenized Credit Fund,aid-gaib,Singapore,1
rwa-credit-fund,Tokenized Credit Fund,apxusd-apyx,British Virgin Islands,1
cdp,Crypto-Collateralized (CDP),unknown,Seychelles,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Nigeria,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Argentina,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Chile,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Peru,1
unknown,Unknown,unknown,British Virgin Islands,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Malaysia,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,India,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Cyprus / Lithuania,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Bermuda,1
fiat-cash,Custodial Cash and Cash-Equivalents,ausd-agora,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Georgia,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United Arab Emirates,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Israel,1
