# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-09-22T08:00:37.000Z | URL: https://pharos.watch/datasets/scores-latest/latest.csv | Methodology: safety-score v9.8 | dews v6.22 | liquidity v6.5 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
usdt-tether,USDT,,87,A+,19,WATCH,63,mixed
fidd-fidelity,FIDD,,84,A,8,CALM,75,mixed
bold-liquity,BOLD,,84,A,17,WATCH,70,mixed
eurc-circle,EURC,,82,A-,9,CALM,76,mixed
paxg-paxos,PAXG,,82,A-,19,WATCH,59,mixed
usdc-circle,USDC,,80,A-,8,CALM,72,mixed
usds-sky,USDS,,80,A-,9,CALM,64,mixed
dai-makerdao,DAI,,80,A-,9,CALM,66,mixed
zchf-frankencoin,ZCHF,,80,A-,19,WATCH,78,mixed
xaut-tether,XAUT,,80,A-,15,CALM,63,mixed
pusd-polymarket,pUSD,,79,B+,6,CALM,38,mixed
xsgd-straitsx,XSGD,,79,B+,13,CALM,81,mixed
rlusd-ripple,RLUSD,,78,B+,5,CALM,58,mixed
usdcv-societe-generale-forge,USDCV,,78,B+,7,CALM,54,primary
doc-money-on-chain,DOC,,78,B+,14,CALM,66,mixed
sdai-sky,sDAI,,78,B+,,,58,mixed
cusd-cap,CUSD,,77,B+,4,CALM,31,fallback
lusd-liquity,LUSD,,76,B+,27,WATCH,57,mixed
usdrif-rif,USDRIF,,76,B+,8,CALM,49,mixed
gtusdcp-gauntlet,gtUSDCp,,76,B+,,,15,fallback
susds-sky,sUSDS,,76,B+,,,40,mixed
usat-tether,USAT,,75,B+,12,CALM,34,mixed
ustb-superstate,USTB,,74,B,,,,unobserved
crvusd-curve,crvUSD,,73,B,13,CALM,74,mixed
gtusdc-gauntlet,gtUSDC,,73,B,,,25,fallback
idrx-idrx,IDRX,,73,B,21,WATCH,71,mixed
pyusd-paypal,PYUSD,,72,B,12,CALM,68,mixed
usdtb-ethena,USDTB,,72,B,9,CALM,64,mixed
fxusd-f-x-protocol,fxUSD,,72,B,14,CALM,75,mixed
stusds-sky,stUSDS,,72,B,,,36,mixed
usde-ethena,USDe,,71,B,12,CALM,59,mixed
usdg-paxos,USDG,,71,B,12,CALM,62,mixed
gho-aave,GHO,,71,B,10,CALM,76,mixed
ausd-agora,AUSD,,71,B,6,CALM,81,mixed
audm-macropod,AUDM,,71,B,9,CALM,61,mixed
scrvusd-curve,scrvUSD,,71,B,,,63,mixed
mxnb-juno,MXNB,,71,B,20,WATCH,55,mixed
frxusd-frax,FRXUSD,,70,B,11,CALM,76,mixed
dusd-alto,DUSD,,70,B,22,WATCH,42,primary
jpym-mento,JPYm,,70,B,2,CALM,38,primary
usd3-3jane,USD3,,70,B,,,31,primary
m-m0,M,,69,B-,12,CALM,,unobserved
usd3-reserve-protocol,USD3,,69,B-,,,61,mixed
susde-ethena,sUSDe,,69,B-,,,57,mixed
stcusd-cap,stcUSD,,69,B-,,,15,fallback
usn-noon,USN,,68,B-,12,CALM,58,mixed
ousd-origin-protocol,OUSD,,68,B-,10,CALM,71,mixed
hchf-hedera-swiss-franc,HCHF,,68,B-,27,WATCH,35,fallback
eurcv-societe-generale-forge,EURCV,,68,B-,4,CALM,66,mixed
yousd-yield-optimizer,yoUSD,,68,B-,,,38,fallback
fpi-frax,FPI,,67,B-,,,40,mixed
audd-novatti,AUDD,,67,B-,17,WATCH,51,mixed
sgho-aave,sGHO,,67,B-,,,34,mixed
ousg-ondo-finance,OUSG,,67,B-,,,,unobserved
usdp-paxos,USDP,,66,B-,12,CALM,68,mixed
uktbl-spiko,UKTBL,,66,B-,,,,unobserved
syrupusdc-maple,syrupUSDC,,66,B-,,,51,mixed
ylds-figure,YLDS,,65,B-,,,56,fallback
cadd-cad-digital,CADD,,65,B-,8,CALM,62,mixed
wm-m0,wM,,65,B-,16,WATCH,77,primary
safo-spiko-usd,SAFO,,65,B-,,,,unobserved
eursafo-spiko,EURSAFO,,65,B-,,,,unobserved
ustbl-spiko,USTBL,,65,B-,,,,unobserved
eutbl-spiko,EUTBL,,65,B-,,,,unobserved
usyc-hashnote,USYC,,64,C+,,,,unobserved
usdgo-osl,USDGO,,64,C+,3,CALM,54,fallback
gusd-gemini,GUSD,,64,C+,30,WATCH,58,mixed
usdq-quantoz,USDQ,,64,C+,13,CALM,41,mixed
usdsc-startale,USDSC,,64,C+,15,CALM,46,mixed
usdnr-nerona,USDnr,,64,C+,13,CALM,49,fallback
europ-schuman,EUROP,,64,C+,31,WATCH,44,mixed
gbpm-mento,GBPm,,64,C+,6,CALM,57,primary
xofm-mento,XOFm,,64,C+,0,CALM,70,mixed
ghsm-mento,GHSm,,64,C+,7,CALM,73,mixed
steakusdt-steakhouse,steakUSDT,,64,C+,,,14,fallback
susdc-spark,spUSDC,,64,C+,,,,unobserved
steakusdc-steakhouse,steakUSDC,,64,C+,,,,unobserved
usdcx-movement,USDCx,,64,C+,6,CALM,47,fallback
usd0-usual,USD0,,63,C+,14,CALM,60,mixed
fdusd-first-digital,FDUSD,,63,C+,1,CALM,52,mixed
yusd-aegis,YUSD,,63,C+,11,CALM,56,mixed
djed-coti,DJED,,63,C+,24,WATCH,51,fallback
susdt-spark,spUSDT,,63,C+,,,14,fallback
usdat-saturn,USDAT,,62,C+,9,CALM,68,mixed
hbusdt-hyperbeat,hbUSDT,,62,C+,,,20,fallback
ftusd-flying-tulip,ftUSD,,61,C+,11,CALM,54,mixed
xdai-gnosis,xDAI,,61,C+,13,CALM,66,mixed
tusd-trueusd,TUSD,,60,C+,9,CALM,63,mixed
usdaf-asymmetry,USDaf,,60,C+,25,WATCH,51,mixed
dusd-dialectic,DUSD,,60,C+,,,39,mixed
myrc-blox,MYRC,,60,C+,13,CALM,72,mixed
avusd-avant,avUSD,,59,C,15,CALM,50,mixed
meusd-mezo,MUSD,,59,C,33,WATCH,61,mixed
cusd-celo,USDm,,59,C,6,CALM,64,mixed
usdglo-glo,USDGLO,,59,C,3,CALM,62,mixed
ussd-sonic-labs,USSD,,59,C,6,CALM,54,primary
brlm-mento,BRLm,,59,C,6,CALM,64,mixed
audm-mento,AUDm,,59,C,18,WATCH,62,primary
copm-mento,COPm,,59,C,29,WATCH,34,fallback
kesm-mento,KESm,,59,C,7,CALM,76,mixed
spkcc-spiko,SPKCC,,59,C,,,,unobserved
xmd-metal-dollar,XMD,,59,C,8,CALM,,unobserved
xusd-straitsx,XUSD,,58,C,5,CALM,62,mixed
money-defi-money,MONEY,,58,C,6,CALM,46,mixed
pusd-plume,pUSD,,58,C,6,CALM,42,fallback
usdp-parallel,USDp,,58,C,14,CALM,46,primary
stkgho-umbrella-aave,stkGHO.v1,,58,C,,,14,fallback
fxsave-f-x-protocol,fxSAVE,,58,C,,,29,mixed
usdk-kast,USDK,,58,C,7,CALM,,unobserved
jtrsy-anemoy,JTRSY,,58,C,,,,unobserved
zsd-zephyr-protocol,ZSD,,58,C,24,WATCH,8,unobserved
eur0-usual,EUR0,,58,C,6,CALM,53,fallback
syusd-aegis,sYUSD,,58,C,,,14,fallback
reusd-re-protocol,reUSD,,57,C,,,78,mixed
usx-solstice,USX,,57,C,29,WATCH,47,mixed
dola-inverse-finance,DOLA,,57,C,17,WATCH,54,mixed
pathusd-bridge,pathUSD,,57,C,25,WATCH,63,fallback
usdpt-western-union,USDPT,,57,C,6,CALM,52,fallback
xusd-babelfish,XUSD,,57,C,17,WATCH,36,primary
ceur-celo,EURm,,57,C,28,WATCH,58,mixed
eurau-allunity,EURAU,,57,C,10,CALM,68,mixed
iauon-ondo,IAUon,,57,C,,,64,fallback
musd-metamask,MUSD,,56,C,10,CALM,72,mixed
honey-berachain,BUSD,,56,C,4,CALM,68,mixed
ctusd-citrea,ctUSD,,56,C,14,CALM,45,fallback
bc3m-backed,bC3M,,56,C,,,,unobserved
mxne-real-mxn,MXNe,,56,C,9,CALM,65,mixed
buidl-blackrock,BUIDL,,55,C,23,WATCH,,unobserved
frax-frax,FRAX,,55,C,30,WATCH,53,mixed
usdon-ondo,USDon,,55,C,18,WATCH,18,fallback
usdu-unitas,USDU,,55,C,6,CALM,59,mixed
eusd-telcoin,eUSD,,55,C,2,CALM,60,primary
usdu-usdu-finance,USDU,,55,C,11,CALM,53,mixed
eurq-quantoz,EURQ,,55,C,30,WATCH,26,mixed
yvusdc-yearn,yvUSDC-1,,55,C,,,14,fallback
bbqusdc-steakhouse,bbqUSDC,,55,C,,,,unobserved
sdola-inverse-finance,sDOLA,,55,C,,,52,mixed
sbold-k3-capital,sBOLD,,55,C,,,,unobserved
ybold-yearn,yBOLD,,55,C,,,,unobserved
slvon-ondo,SLVon,,55,C,,,59,mixed
zys-zephyr-protocol,ZYS,,55,C,,,,unobserved
bib01-backed,bIB01,,55,C,,,,unobserved
eure-monerium,EURE,,54,C-,12,CALM,60,mixed
brlv-crown,BRLV,,54,C-,22,WATCH,15,fallback
usdf-falcon,USDf,,53,C-,15,CALM,57,mixed
trusd-tori,trUSD,,53,C-,6,CALM,73,mixed
usdm-mega,USDM,,53,C-,3,CALM,54,fallback
usdn-noble,USDN,,53,C-,11,CALM,,unobserved
scusd-rings,SCUSD,,53,C-,12,CALM,56,mixed
tgbp-tokenised,tGBP,,53,C-,13,CALM,64,mixed
brla-brla-digital,BRLA,,53,C-,20,WATCH,62,mixed
aa-falconx-mev-capital,AA_FalconXUSDC,,53,C-,,,,unobserved
savusd-avant,savUSD,,53,C-,,,34,mixed
gbpsafo-spiko,GBPSAFO,,53,C-,,,,unobserved
usd1-world-liberty-financial,USD1,,52,C-,6,CALM,70,mixed
satusd-river,satUSD,,52,C-,21,WATCH,34,fallback
nusd-nexus,NUSD,,52,C-,8,CALM,14,fallback
iusd-initia,iUSD,,52,C-,8,CALM,44,fallback
susd-solayer,sUSD,,52,C-,36,ALERT,24,fallback
nect-beraborrow,NECT,,52,C-,8,CALM,58,fallback
hbd-hive,HBD,,52,C-,20,WATCH,,unobserved
mglobal-midas-fasanara,mGLOBAL,,52,C-,,,,unobserved
eurspkcc-spiko,EURSPKCC,,52,C-,,,,unobserved
audx-aussie-dollar-token,AUDX,,52,C-,7,CALM,60,fallback
eearn-ember,eEARN,,52,C-,,,24,mixed
stusd-stoneyield,stUSD,,52,C-,,,37,fallback
krwq-iq,KRWQ,,52,C-,23,WATCH,64,mixed
jupusd-jupiter,JUPUSD,,51,C-,32,WATCH,71,mixed
sbc-brale,SBC,,51,C-,7,CALM,44,mixed
dllr-sovryn,DLLR,,51,C-,32,WATCH,,unobserved
deuro-deuro,dEURO,,51,C-,0,CALM,14,fallback
qcad-stablecorp,QCAD,,51,C-,19,WATCH,41,fallback
gldt-gold-dao,GLDT,,51,C-,20,WATCH,48,fallback
srusde-strata,srUSDe,,51,C-,,,15,fallback
xo-exodus,XO,,51,C-,7,CALM,,unobserved
mre7yield-midas,mRe7YIELD,,51,C-,,,38,mixed
syrupusdt-maple,syrupUSDT,,51,C-,,,45,mixed
usdsui-sui,USDSUI,,50,C-,7,CALM,60,mixed
yzusd-yuzu,YZUSD,,50,C-,5,CALM,54,mixed
spusd-soulpeg,SPUSD,,50,C-,8,CALM,36,fallback
usdo-openeden,USDO,,50,C-,18,WATCH,18,primary
gldy-streamex,GLDY,,50,C-,10,CALM,,unobserved
jaaa-janus-henderson-anemoy,JAAA,,50,C-,,,,unobserved
susn-noon,sUSN,,50,C-,,,52,mixed
usg-tangent,USG,,50,C-,19,WATCH,51,mixed
aznd-mu-digital,AZND,,49,D,27,WATCH,14,fallback
suiusde-sui,suiUSDe,,49,D,6,CALM,30,primary
vnxau-vnx,VNXAU,,49,D,15,CALM,61,mixed
xagm-matrixdock,XAGm,,49,D,23,WATCH,37,mixed
vbill-vaneck,VBILL,,49,D,,,,unobserved
acrdx-anemoy-apollo,ACRDX,,49,D,,,,unobserved
susd-hedgecore,sUSD,,49,D,10,CALM,36,fallback
witry-brix,wiTRY,,49,D,,,,unobserved
nusd-neutrl,NUSD,,48,D,19,WATCH,18,mixed
wbrl-ripio,WBRL,,48,D,6,CALM,56,mixed
jpysc-sbi-startale,JPYSC,,48,D,8,CALM,,unobserved
acred-apollo-securitize,ACRED,,48,D,,,,unobserved
eurot-token-teknoloji,EUROT,,48,D,7,CALM,51,fallback
onyc-onre,ONyc,,48,D,,,67,mixed
bnusd-balanced,BNUSD,,47,D,31,WATCH,36,fallback
vchf-vnx,VCHF,,47,D,33,WATCH,66,mixed
jpyc-jpyc,JPYC,,47,D,25,WATCH,67,mixed
ggbr-goldfish-gold,GGBR,,47,D,8,CALM,29,fallback
kag-kinesis,KAG,,47,D,14,CALM,50,fallback
cusdo-openeden,cUSDO,,47,D,,,36,mixed
usdr-ring,USDR,,47,D,6,CALM,58,primary
thbill-theo,thBILL,,47,D,,,53,mixed
chfau-allunity,CHFAU,,47,D,13,CALM,42,mixed
brl1-brl1,BRL1,,47,D,7,CALM,48,mixed
jpyt-dephaser,JPYT,,47,D,20,WATCH,63,mixed
rwausdi-multipli,rwaUSDi,,46,D,9,CALM,,unobserved
nxusd-nereus,NXUSD,,46,D,30,WATCH,18,mixed
fusd-finchain,FUSD,,46,D,11,CALM,,unobserved
euri-banking-circle,EURI,,46,D,5,CALM,49,mixed
xaum-matrixdock,XAUm,,46,D,24,WATCH,50,mixed
cash-phantom,CASH,,45,D,15,CALM,44,mixed
dusd-standx,DUSD,,45,D,7,CALM,47,mixed
stac-securitize,STAC,,45,D,,,,unobserved
gbpe-monerium,GBPe,,45,D,13,CALM,35,fallback
nbasis-nest,nBASIS,,45,D,,,14,fallback
usdkg-gold-dollar,USDKG,,44,D,16,WATCH,29,mixed
reusd-resupply,REUSD,,44,D,26,WATCH,49,mixed
bd-basedollar,BD,,44,D,31,WATCH,55,fallback
cadc-cad-coin,CADC,,44,D,9,CALM,67,mixed
chfm-mento,CHFm,,44,D,18,WATCH,39,primary
cdp-enosys,CDP,,44,D,17,WATCH,51,fallback
usdd-tron-dao-reserve,USDD,,43,D,4,CALM,38,mixed
hollar-hydrated,HOLLAR,,43,D,35,WATCH,48,fallback
usdb-blast,USDB,,43,D,5,CALM,54,fallback
feusd-felix,FEUSD,,43,D,9,CALM,38,fallback
usbd-bima,USBD,,43,D,0,CALM,,unobserved
usp-pikudao,USP,,43,D,,,54,primary
dusd-dtrinity,dUSD,,43,D,19,WATCH,55,mixed
weusd-picwe,WEUSD,,43,D,16,WATCH,14,fallback
pgold-pleasing,PGOLD,,43,D,10,CALM,41,mixed
idrt-rupiah-token,IDRT,,43,D,8,CALM,18,fallback
yusd-yieldfi,YUSD,,43,D,,,20,fallback
