# Pharos pharos.watch | Endpoint: top-stablecoins | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/top-stablecoins/latest.csv | Methodology: safety-score v7.25 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,symbol,name,pegType,pegMechanism,price,circulatingUsd,chainCount,chains
usdt-tether,USDT,Tether,peggedUSD,fiat-backed,0.9995695611391253,189694178759.65176,127,Tron;Ethereum;BSC;Solana;Arbitrum;Aptos;Plasma;Polygon;TON;Avalanche;Mantle;Kaia;Hyperliquid L1;OP Mainnet;Celo;Ink;X Layer;Monad;Fantom;Near;Kava;Tezos;Berachain;Polkadot;Katana;Mixin;Flare;Injective;Sui;Stable;OKTChain;KCC;MegaETH;Linea;Unichain;Morph;Conflux;Tempo;PulseChain;Scroll;NEO;Zilliqa;Starknet;Sei;ICP;CORE;Rootstock;Metis;Manta;ZKsync Era;Abstract;Movement;Vaulta;Aurora;IoTeX;Etherlink;Gnosis;EDU Chain;Peaq;Algorand;Moonriver;MultiversX;Soneium;Redbelly;Osmosis;Stacks;Mode;IOTA EVM;Hemi;Canto;Cardano;Oasis Emerald;Bittorrent;ThunderCore;Gravity by Galxe;Kusama;Moonbeam;Telos;Waves;Viction;Meter;Wanchain;Zircuit;Boba;Corn;Harmony;Taiko;Fuse;Immutable zkEVM;MANTRA;Syscoin;ApeChain;XDC;Dogechain;GOAT;Somnia;Plume Mainnet;Citrea;EthereumClassic;Shiden;Rari;Evmos;Story;LightLink;Flow;Theta;Vana;Nibiru;Swellchain;Arbitrum Nova;0G;Milkomeda C1 (Deprecated);SX Network;DefiChain;Ontology;Kardia;Crab;Astar;Heco;ZKsync Lite;Terra Classic;Everscale;Loopring;Reinetwork;Statemine;Glue;Omni
usdc-circle,USDC,USD Coin,peggedUSD,fiat-backed,0.999811,77058377191.53372,151,Ethereum;Solana;Hyperliquid L1;Base;Arbitrum;Polygon;BSC;Avalanche;Sui;Starknet;Stellar;Aptos;Monad;OP Mainnet;Fantom;Cronos;Noble;Sonic;Algorand;XDC;Mantle;Near;Sei;Ink;Hedera;Polkadot;ZKsync Era;Unichain;Katana;Linea;Tron;edgeX L1;Berachain;Osmosis;Celo;World Chain;Gnosis;Cardano;Etherlink;PulseChain;Stacks;X Layer;Abstract;Morph;MultiversX;Scroll;Plume Mainnet;Kava;XRPL;Flare;Tempo;Metis;Canto;Moonriver;Immutable zkEVM;Flow;Kaia;IoTeX;Soneium;Mixin;Fogo;Aurora;Manta;KCC;ICP;Botanix;Moonbeam;Movement;Taiko;Wanchain;Boba;Story;Injective;Polygon zkEVM;Gravity by Galxe;Doma;Mode;DFK;Somnia;Perennial;CORE;Lisk;Meter;Telos;Citrea;IOTA EVM;Hemi;Dogechain;Arbitrum Nova;Nibiru;Zircuit;ApeChain;OKTChain;GateLayer;Harmony;Shape;MANTRA;Rootstock;EDU Chain;BSquared;GOAT;Syscoin;BOB;Peaq;Fuse;Superposition;Elastos;Vana;ThunderCore;Redbelly;Zkfair;Bitlayer;Oasis Emerald;Karura;Evmos;LightLink;Rari;Waves;Theta;Corn;EthereumClassic;Stable;Degen;Viction;Camp Network;Orderly Network;Xai;WEMIX3.0;0G;Ronin;Milkomeda C1 (Deprecated);SX Network;DefiChain;Kardia;Crab;Kadena;Astar;ZKsync Lite;Terra Classic;Everscale;Horizen;Edu_chain;Loopring;Moca;Reinetwork;Glue;Codex;Xc;Ap3x;Gensyn;Nero
usds-sky,USDS,Sky Dollar,peggedUSD,crypto-backed,0.9998317034286918,8799272055.344715,7,Ethereum;Base;OP Mainnet;Unichain;Arbitrum;Solana;Avalanche
susds-sky,sUSDS,Sky Savings USDS,peggedUSD,crypto-backed,1.0966386779671626,6059487874.197127,2,Ethereum;Base
dai-makerdao,DAI,Dai,peggedUSD,crypto-backed,0.9996500500000001,4615941328.422776,49,Ethereum;Polygon;Fantom;BSC;Arbitrum;OP Mainnet;PulseChain;Avalanche;Kaia;Kava;Near;Moonriver;Solana;Starknet;ZKsync Era;Boba;Linea;Metis;Astar;Osmosis;Mixin;Harmony;Scroll;Arbitrum Nova;Aurora;Moonbeam;Rootstock;Gnosis;KCC;Syscoin;Velas;Cardano;Unichain;Shiden;ThunderCore;Evmos;Taiko;Morph;Hemi;Oasis Emerald;EDU Chain;ZKsync Lite;Milkomeda C1 (Deprecated);SX Network;Terra Classic;Everscale;Glue;Aztec;Loopring
usd1-world-liberty-financial,USD1,World Liberty Financial USD,peggedUSD,fiat-backed,0.9998624969997445,4520099496.438613,8,BSC;Ethereum;Solana;Aptos;Tron;Monad;Plume Mainnet;Abcore
usde-ethena,USDe,Ethena USDe,peggedUSD,crypto-backed,1.0001837558313107,4333453779.529046,28,Ethereum;Solana;MegaETH;BSC;TON;Plasma;Mantle;Hyperliquid L1;Berachain;Arbitrum;Blast;Base;Tempo;Avalanche;Zircuit;Movement;Swellchain;Fraxtal;Ink;OP Mainnet;Linea;Scroll;ZKsync Era;Manta;Mode;Metis;Kava;X Layer
pyusd-paypal,PYUSD,PayPal USD,peggedUSD,fiat-backed,0.9999682755015917,3458414633.1988215,17,Ethereum;Solana;Arbitrum;Sei;Polygon;Flow;Berachain;Plume Mainnet;Cardano;Avalanche;Tron;Ink;Stable;Abstract;Fraxtal;Glue;Codex
buidl-blackrock,BUIDL,BlackRock USD,peggedUSD,fiat-backed,1,3225558400.6404486,8,Ethereum;Solana;Aptos;BSC;Avalanche;OP Mainnet;Arbitrum;Polygon
usyc-hashnote,USYC,Circle USYC,peggedUSD,fiat-backed,1.1251789984230638,2971935107.8022876,2,BSC;Ethereum
usdg-paxos,USDG,Global Dollar,peggedUSD,fiat-backed,0.9997444925895026,2914364295.1586895,5,X Layer;Solana;Ethereum;Ink;Hyperliquid L1
xaut-tether,XAUT,Tether Gold,peggedGOLD,rwa-backed,4534.9945020000005,2687352218.8694706,1,Ethereum
usdy-ondo-finance,USDY,Ondo US Dollar Yield,peggedUSD,fiat-backed,1.13200335,2133944329.7587044,15,Ethereum;Plume Mainnet;Sei;Solana;Stellar;Mantle;Sui;Noble;Aptos;Osmosis;Arbitrum;MANTRA;Injective;Penumbra;Glue
paxg-paxos,PAXG,PAX Gold,peggedGOLD,rwa-backed,4534.610000000001,2132359058.0025432,1,Ethereum
susde-ethena,sUSDe,Ethena Staked USDe,peggedUSD,crypto-backed,1.23070196,1794476918.5034904,1,Ethereum
usdf-falcon,USDf,Falcon USD,peggedUSD,crypto-backed,0.9979581374401447,1780349307.4751897,4,Ethereum;BSC;Base;XDC Network
rlusd-ripple,RLUSD,Ripple USD,peggedUSD,fiat-backed,1.0000677,1545683872.706378,2,Ethereum;XRPL
usdd-tron-dao-reserve,USDD,USDD,peggedUSD,crypto-backed,0.99950707,1506100733.2032392,4,Tron;Ethereum;BSC;Bittorrent
syrupusdc-maple,syrupUSDC,Maple syrupUSDC,peggedUSD,rwa-backed,1.1641689031341376,1384244996.9437904,4,Ethereum;Base;Arbitrum;Solana
bfusd-binance,BFUSD,BFUSD,peggedUSD,rwa-backed,0.9993001000000001,1318944708.8514447,0,
susdt-spark,spUSDT,Spark Savings USDT,peggedUSD,crypto-backed,1.0206924651051172,1246788650.373241,1,Ethereum
usdtb-ethena,USDTB,Ethena USDtb,peggedUSD,fiat-backed,0.9996579897507549,1131602728.3450148,2,Ethereum;Solana
jtrsy-anemoy,JTRSY,Janus Henderson Anemoy Treasury Fund,peggedUSD,rwa-backed,1.103396,1063551687.7859644,1,Ethereum
u-united-stables,U,United Stables,peggedUSD,crypto-backed,0.999604314306558,1062438224.9954138,3,BSC;Tron;Ethereum
eutbl-spiko,EUTBL,Spiko EU T-Bills Money Market Fund,peggedEUR,rwa-backed,1.22283031940592,1024390663.1310217,7,Arbitrum;Ethereum;Polygon;Base;Etherlink;Stellar;Starknet
ustb-superstate,USTB,Superstate USTB,peggedUSD,rwa-backed,11.08224799,1001702033.0604883,3,Ethereum;Plume;Solana
wtgxx-wisdomtree,WTGXX,WisdomTree Government Money Market Digital Fund,peggedUSD,rwa-backed,1,958338475.6952723,1,Ethereum
susdc-spark,spUSDC,Spark Savings USDC,peggedUSD,crypto-backed,1.022568697982,929688349.548969,2,Ethereum;Avalanche
gho-aave,GHO,GHO,peggedUSD,crypto-backed,0.999680295,583651429.1012987,1,Ethereum
a7a5-old-vector,A7A5,A7A5,peggedRUB,fiat-backed,0.01274035,564334211.1073362,2,Tron;Ethereum
usd0-usual,USD0,Usual USD,peggedUSD,fiat-backed,0.9984493400000001,556642712.7029217,2,Ethereum;Arbitrum
ousg-ondo-finance,OUSG,Ondo OUSG,peggedUSD,rwa-backed,115.250409,554425860.065581,3,Ethereum;Polygon;Solana
ylds-figure,YLDS,YLDS,peggedUSD,fiat-backed,0.9998370010526714,536935296.6073111,4,Solana;Provenance;Ethereum;Stellar
busd0-usual,bUSD0,Bond USD0,peggedUSD,rwa-backed,0.963969299370319,504210008.3359933,2,Ethereum;Arbitrum
tusd-trueusd,TUSD,TrueUSD,peggedUSD,fiat-backed,0.9994147782847028,484201187.89178765,10,Ethereum;Tron;BSC;Avalanche;Fantom;Polygon;Arbitrum;Syscoin;Near;Heco
apxusd-apyx,apxUSD,apxUSD,peggedUSD,crypto-backed,0.999857,461144979.17775923,1,Ethereum
eurc-circle,EURC,EURC,peggedEUR,fiat-backed,1.16137518,450397417.7149511,10,Ethereum;Solana;Base;Avalanche;Stellar;Sonic;Tempo;Polygon;Cardano;ICP
jaaa-janus-henderson-anemoy,JAAA,Janus Henderson Anemoy AAA CLO Fund,peggedUSD,rwa-backed,1.034628,424205475.4851961,5,Ethereum;Base;BSC;Avalanche;Monad
