# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-07-08T08:00:33.000Z | URL: https://pharos.watch/sheets/scores-latest.csv | Methodology: safety-score v8.13 | dews v6.095 | liquidity v5.84 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
usdt-tether,USDT,,72,B,14,CALM,64,mixed
usdc-circle,USDC,,76,B+,10,CALM,70,mixed
usds-sky,USDS,,82,A-,11,CALM,64,mixed
dai-makerdao,DAI,,83,A,15,CALM,52,mixed
usd1-world-liberty-financial,USD1,,66,B-,20,WATCH,54,mixed
usde-ethena,USDe,,57,C,19,WATCH,57,mixed
usyc-hashnote,USYC,,50,C-,,,8,unobserved
buidl-blackrock,BUIDL,,67,B-,7,CALM,,unobserved
usdg-paxos,USDG,,73,B,11,CALM,70,mixed
pyusd-paypal,PYUSD,,75,B+,18,WATCH,63,mixed
usdy-ondo-finance,USDY,,62,C+,,,34,mixed
rlusd-ripple,RLUSD,,72,B,15,CALM,62,mixed
usdd-tron-dao-reserve,USDD,,55,C,3,CALM,25,fallback
usdf-falcon,USDf,,59,C,16,WATCH,52,mixed
u-united-stables,U,,57,C,2,CALM,46,mixed
usdgo-osl,USDGO,,64,C+,5,CALM,54,fallback
usdtb-ethena,USDTB,,59,C,12,CALM,61,primary
406,pUSD,,,,,,,
gho-aave,GHO,,73,B,11,CALM,72,mixed
usd0-usual,USD0,,50,C-,15,CALM,51,mixed
ylds-figure,YLDS,,75,B+,,,62,mixed
usx-solstice,USX,,55,C,14,CALM,44,primary
tusd-trueusd,TUSD,,50,C-,13,CALM,46,mixed
apxusd-apyx,apxUSD,,20,F,27,WATCH,70,mixed
rwausdi-multipli,rwaUSDi,,50,C-,7,CALM,,unobserved
fdusd-first-digital,FDUSD,,52,C-,22,WATCH,16,mixed
gusd-gate,GUSD,,53,C-,1,CALM,48,fallback
m-m0,M,,54,C-,13,CALM,,unobserved
usdm-mega,USDM,,47,D,20,WATCH,30,fallback
153,BUSD,,,,,,,
crvusd-curve,crvUSD,,74,B,7,CALM,81,mixed
usdai-usd-ai,USDai,,61,C+,12,CALM,40,mixed
17,HUSD,,,,,,,
ausd-agora,AUSD,,83,A,5,CALM,90,mixed
usat-tether,USAT,,63,C+,14,CALM,34,mixed
frax-frax,FRAX,,56,C,28,WATCH,54,mixed
21,FLEXUSD,,,,,,,
reusd-re-protocol,reUSD,,66,B-,,,72,mixed
satusd-river,satUSD,,38,F,10,CALM,21,fallback
328,MUST,,,,,,,
usda-avalon,USDA,,0,F,21,WATCH,16,mixed
cash-phantom,CASH,,62,C+,13,CALM,43,primary
moveusd-cfx,MOVEUSD,,55,C,15,CALM,31,primary
usdf-astherus,USDF,,53,C-,8,CALM,,unobserved
frxusd-frax,FRXUSD,,70,B,15,CALM,79,mixed
avusd-avant,avUSD,,46,D,8,CALM,47,mixed
dusd-standx,DUSD,,46,D,20,WATCH,28,mixed
400,USDAT,,,,,,,
407,UUSD,,,,,,,
315,USPD,,,,,,,
cusd-cap,CUSD,,67,B-,9,CALM,14,fallback
dola-inverse-finance,DOLA,,54,C-,19,WATCH,51,mixed
405,USDA,,,,,,,
cgusd-cygnus-finance,cgUSD,,50,C-,10,CALM,,unobserved
lisusd-lista,LISUSD,,40,D,22,WATCH,30,mixed
pmusd-precious-metals,pmUSD,,0,F,36,ALERT,29,mixed
susd-synthetix,SUSD,,,,31,WATCH,53,mixed
nusd-neutrl,NUSD,,60,C+,9,CALM,51,primary
usdsui-sui,USDSUI,,70,B,6,CALM,54,mixed
97,USP,,,,,,,
408,USDon,,,,,,,
iusd-infinifi,IUSD,,51,C-,8,CALM,46,primary
usdu-unitas,USDU,,57,C,19,WATCH,43,primary
fxusd-f-x-protocol,fxUSD,,72,B,11,CALM,77,mixed
jupusd-jupiter,JUPUSD,,63,C+,12,CALM,59,primary
401,trUSD,,,,,,,
409,USDKG,,,,,,,
fidd-fidelity,FIDD,,77,B+,17,WATCH,66,mixed
xusd-straitsx,XUSD,,62,C+,6,CALM,34,mixed
398,USDV,,,,,,,
yzusd-yuzu,YZUSD,,47,D,7,CALM,42,primary
gusd-gemini,GUSD,,69,B-,17,WATCH,31,mixed
4,BUSD,,,,,,,
yusd-aegis,YUSD,,49,D,11,CALM,52,mixed
67,BEAN,,,,,,,
musd-metamask,MUSD,,65,B-,15,CALM,59,mixed
reusd-resupply,REUSD,,50,C-,19,WATCH,50,mixed
usdp-paxos,USDP,,76,B+,14,CALM,65,mixed
usdo-openeden,USDO,,46,D,16,WATCH,36,primary
usn-noon,USN,,58,C,9,CALM,70,primary
bold-liquity,BOLD,,90,A+,11,CALM,78,mixed
msusd-metronome,MSUSD,,64,C+,13,CALM,82,mixed
lusd-liquity,LUSD,,85,A,27,WATCH,44,mixed
meusd-mezo,MUSD,,60,C+,30,WATCH,39,mixed
zeusd-zoth,ZeUSD,,39,F,7,CALM,14,fallback
185,GYD,,,,,,,
buck-bucket-protocol,BUCK,,56,C,1,CALM,55,mixed
410,USDU,,,,,,,
ctusd-citrea,ctUSD,,44,D,8,CALM,25,primary
eusd-electronic-usd,EUSD,,69,B-,11,CALM,80,mixed
msusd-main-street,MSUSD,,,,52,ALERT,36,mixed
usdx-hex-trust,USDX,,42,D,27,WATCH,27,mixed
413,SPUSD,,,,,,,
uty-xsy,UTY,,34,F,37,ALERT,28,fallback
usx-dforce,USX,,31,F,8,CALM,14,fallback
85,USDR,,,,,,,
aid-gaib,AID,,47,D,21,WATCH,18,mixed
pathusd-bridge,pathUSD,,64,C+,12,CALM,,unobserved
63,FUSD,,,,,,,
31,USDS,,,,,,,
usdh-native-markets,USDH,,50,C-,4,CALM,34,fallback
12,USDN,,,,,,,
29,TOR,,,,,,,
honey-berachain,HONEY,,45,D,13,CALM,63,mixed
aznd-mu-digital,AZND,,58,C,,,38,primary
cusd-celo,USDm,,57,C,14,CALM,72,mixed
usdm-moneta,USDM,,37,F,11,CALM,,unobserved
suiusde-sui,suiUSDe,,48,D,6,CALM,48,mixed
411,USDSM,,,,,,,
usdb-blast,USDB,,49,D,14,CALM,22,fallback
usdcv-societe-generale-forge,USDCV,,69,B-,8,CALM,56,primary
hyusd-hylo,HYUSD,,75,B+,10,CALM,77,mixed
13,YUSD,,,,,,,
uusd-youves,UUSD,,0,F,33,WATCH,,unobserved
hollar-hydrated,HOLLAR,,54,C-,2,CALM,62,fallback
feusd-felix,FEUSD,,58,C,3,CALM,47,fallback
115,R,,,,,,,
232,PINTO,,,,,,,
wusd-worldwide,WUSD,,65,B-,14,CALM,57,fallback
308,D,,,,,,,
alusd-alchemix,ALUSD,,38,F,41,ALERT,36,mixed
416,eUSD,,,,,,,
sbc-brale,SBC,,68,B-,3,CALM,51,mixed
244,USDL,,,,,,,
415,RUSD,,,,,,,
usp-pikudao,USP,,48,D,,,46,mixed
usdq-quantoz,USDQ,,57,C,16,WATCH,27,mixed
usdz-anzen,USDz,,36,F,44,ALERT,31,mixed
nxusd-nereus,NXUSD,,49,D,25,WATCH,39,mixed
usbd-bima,USBD,,63,C+,0,CALM,,unobserved
ousd-origin-protocol,OUSD,,63,C+,12,CALM,75,primary
usdx-kava,USDX,,50,C-,41,ALERT,,unobserved
btcusd-btcfi,BtcUSD,,44,D,30,WATCH,,unobserved
home-homecoin,HOME,,47,D,32,WATCH,33,mixed
214,USDX,,,,,,,
391,USDST,,,,,,,
xai-silo-finance,XAI,,73,B,7,CALM,,unobserved
pusd-plume,pUSD,,42,D,8,CALM,14,fallback
usda-anzens,USDA,,53,C-,13,CALM,,unobserved
16,PAI,,,,,,,
usdnr-nerona,USDnr,,30,F,14,CALM,,unobserved
usd3-reserve-protocol,USD3,,63,C+,,,47,primary
iusd-initia,iUSD,,59,C,6,CALM,,unobserved
9,FEI,,,,,,,
usdn-noble,USDN,,41,D,13,CALM,,unobserved
mim-abracadabra,MIM,,0,F,49,ALERT,72,mixed
314,PUSD,,,,,,,
26,MUSD,,,,,,,
doc-money-on-chain,DOC,,68,B-,11,CALM,58,mixed
dusd-fluid,DUSD,,64,C+,7,CALM,,unobserved
djed-coti,DJED,,52,C-,29,WATCH,,unobserved
33,USDP,,,,,,,
404,USDM,,,,,,,
usdh-hermetica,USDH,,44,D,8,CALM,,unobserved
usdrif-rif,USDRIF,,55,C,8,CALM,53,mixed
nusd-nexus,NUSD,,61,C+,7,CALM,,unobserved
28,VAI,,,,,,,
ussd-sonic-labs,USSD,,51,C-,7,CALM,54,mixed
397,beatUSD,,,,,,,
236,syUSD,,,,,,,
usdp-parallel,USDp,,66,B-,9,CALM,60,mixed
xusd-babelfish,XUSD,,47,D,16,WATCH,35,primary
dllr-sovryn,DLLR,,59,C,7,CALM,30,primary
iusd-indigo-protocol,IUSD,,64,C+,9,CALM,,unobserved
usdv-solomon,USDV,,26,F,0,CALM,,unobserved
224,dUSD,,,,,,,
83,USDW,,,,,,,
268,YU,,,,,,,
54,USN,,,,,,,
76,USDI,,,,,,,
378,USDso,,,,,,,
152,USDL,,,,,,,
132,USDM,,,,,,,
78,NOTE,,,,,,,
