# Pharos pharos.watch | Endpoint: top-stablecoins | As of: 2026-07-08T08:00:33.000Z | URL: https://pharos.watch/sheets/top-stablecoins.csv | Methodology: safety-score v8.13 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,symbol,name,pegType,pegMechanism,price,circulatingUsd,chainCount,chains
usdt-tether,USDT,Tether,peggedUSD,fiat-backed,0.9991764999999999,182984655114.5454,130,Tron;Ethereum;BSC;Solana;Arbitrum;Plasma;Polygon;Aptos;TON;Mantle;Avalanche;OP Mainnet;Kaia;Hyperliquid L1;X Layer;Fantom;Monad;Celo;Near;Ink;Kava;Tezos;Berachain;Polkadot;Mixin;Flare;Stable;Conflux;Injective;OKTChain;Tempo;KCC;Linea;Morph;Unichain;Katana;Scroll;PulseChain;Starknet;MegaETH;CORE;Rootstock;Manta;Sei;ICP;Movement;Vaulta;Metis;Abstract;Aurora;Peaq;IoTeX;EDU Chain;Algorand;Gnosis;Moonriver;Redbelly;MultiversX;Osmosis;Soneium;Etherlink;Stacks;Mode;IOTA EVM;Canto;Bittorrent;Oasis Emerald;ThunderCore;Hemi;Kusama;Moonbeam;Gravity by Galxe;Cardano;Telos;Waves;Wanchain;Viction;Meter;Zircuit;Boba;Harmony;Hedera;Fuse;Citrea;Immutable zkEVM;MANTRA;Syscoin;XDC;Taiko;ApeChain;Dogechain;GOAT;Somnia;Plume Mainnet;Shiden;Rari;Data Network;LightLink;Flow;Theta;Vana;Nibiru;Arbitrum Nova;0G;Zora;Corn;Zilliqa;Evmos;SX Network;Milkomeda C1 (Deprecated);DefiChain;Ontology;EthereumClassic;Kardia;Crab;Astar;Heco;ZKsync Lite;Sui;ZKsync Era;Terra Classic;NEO;Swellchain;Everscale;Loopring;Reinetwork;Statemine;Glue;Omni;Rls
usdc-circle,USDC,USD Coin,peggedUSD,fiat-backed,0.999815,73380007806.1607,154,Ethereum;Solana;Hyperliquid L1;Base;Arbitrum;Polygon;BSC;Avalanche;Sui;Stellar;Monad;Aptos;OP Mainnet;Fantom;Cronos;Starknet;Noble;XDC;Sonic;Algorand;Near;Sei;Hedera;Ink;Cardano;Tron;Polkadot;Mantle;Celo;Unichain;Linea;World Chain;Osmosis;Katana;Gnosis;PulseChain;Etherlink;Plume Mainnet;Stacks;X Layer;Tempo;Berachain;Morph;Injective;Scroll;MultiversX;edgeX L1;Pharos;Abstract;XRPL;Kava;Metis;Canto;Moonriver;Flow;Flare;Kaia;Immutable zkEVM;IoTeX;Soneium;Mixin;Aurora;ICP;KCC;Manta;Moonbeam;Fogo;Wanchain;Boba;Data Network;Gensyn;Doma;Polygon zkEVM;DFK;Taiko;CORE;Mode;Somnia;Movement;Lisk;IOTA EVM;Meter;Gravity by Galxe;Telos;Dogechain;Hemi;Zircuit;Arbitrum Nova;Nibiru;GateLayer;Harmony;OKTChain;Shape;ApeChain;EDU Chain;Rootstock;BSquared;Syscoin;MANTRA;Peaq;BOB;Fuse;Redbelly;Citrea;ThunderCore;Superposition;Zkfair;GOAT;Oasis Emerald;Vana;Karura;Bitlayer;LightLink;Waves;Rari;Theta;Botanix;Stable;Degen;Bittensor EVM;0G;Viction;Camp Network;Orderly Network;Xai;WEMIX3.0;Ronin;Moca;Corn;Evmos;SX Network;Milkomeda C1 (Deprecated);DefiChain;EthereumClassic;Kardia;Crab;Kadena;Astar;ZKsync Lite;ZKsync Era;Terra Classic;Elastos;Perennial;Everscale;Horizen;Edu_chain;Loopring;Reinetwork;Glue;Codex;Xc;Ap3x;Rls;Nero
usds-sky,USDS,Sky Dollar,peggedUSD,crypto-backed,0.9997463406356685,7645536876.81204,7,Ethereum;Arbitrum;Solana;Base;Unichain;OP Mainnet;Avalanche
susds-sky,sUSDS,Sky Savings USDS,peggedUSD,crypto-backed,1.1,5449789687.415943,4,Ethereum;Base;Optimism;Arbitrum
dai-makerdao,DAI,Dai,peggedUSD,crypto-backed,0.9998736719348047,4853370255.283869,49,Ethereum;Polygon;Fantom;BSC;Arbitrum;OP Mainnet;PulseChain;Avalanche;Kaia;Kava;Near;Moonriver;Solana;Starknet;Boba;Metis;Astar;Linea;Osmosis;Mixin;Harmony;Scroll;Arbitrum Nova;Aurora;Moonbeam;Rootstock;Gnosis;KCC;Syscoin;Cardano;Velas;Shiden;Unichain;ThunderCore;Taiko;Morph;Hemi;Oasis Emerald;EDU Chain;ZKsync Lite;Evmos;Milkomeda C1 (Deprecated);SX Network;ZKsync Era;Terra Classic;Everscale;Glue;Aztec;Loopring
usd1-world-liberty-financial,USD1,World Liberty Financial USD,peggedUSD,fiat-backed,0.998786598280148,4528313626.478971,8,Ethereum;BSC;Solana;Aptos;Tron;Monad;Plume Mainnet;Abcore
usde-ethena,USDe,Ethena USDe,peggedUSD,crypto-backed,0.9988419947405534,4403156208.214617,31,Ethereum;Solana;MegaETH;BSC;Base;Plasma;TON;Mantle;Robinhood Chain;Berachain;Hyperliquid L1;Arbitrum;Blast;Avalanche;Morph;Zircuit;Ink;Fraxtal;Movement;OP Mainnet;Linea;Scroll;Manta;Monad;Mode;Metis;Kava;X Layer;Tempo;ZKsync Era;Swellchain
usyc-hashnote,USYC,Circle USYC,peggedUSD,fiat-backed,1.1303261424481525,3107511333.66171,2,BSC;Ethereum
buidl-blackrock,BUIDL,BlackRock USD,peggedUSD,fiat-backed,1,3053713036.6804485,8,Ethereum;Aptos;Solana;Avalanche;BSC;OP Mainnet;Arbitrum;Polygon
usdg-paxos,USDG,Global Dollar,peggedUSD,fiat-backed,0.9999028488236017,2988069615.1475077,6,X Layer;Solana;Ethereum;Robinhood Chain;Ink;Hyperliquid L1
